[DEBUG] wav_idx=25, len(wav_list)=576, start_time=2024-09-14 01:18:02, last_processed_wav_index=25
[DEBUG] wav_idx=25, len(wav_list)=576, start_time=2024-09-14 01:42:02, last_processed_wav_index=25
[DEBUG] wav_idx=26, len(wav_list)=576, start_time=2024-09-14 02:06:10, last_processed_wav_index=25
[DEBUG] start_sample=18042240000, end_sample=18157440000, data_sample_num=17971235568, len(data)=1382402176
[DEBUG] wav_idx=27, len(wav_list)=576, start_time=2024-09-14 03:06:16, last_processed_wav_index=26
[DEBUG] start_sample=18734592000, end_sample=18849792000, data_sample_num=18662438368, len(data)=1382398256
[DEBUG] wav_idx=28, len(wav_list)=576, start_time=2024-09-14 04:04:11, last_processed_wav_index=27
[DEBUG] start_sample=19401792000, end_sample=19516992000, data_sample_num=19353637744, len(data)=1382401008
[DEBUG] wav_idx=30, len(wav_list)=576, start_time=2024-09-14 06:34:32, last_processed_wav_index=0
[DEBUG] start_sample=21133824000, end_sample=21249024000, data_sample_num=20736038752, len(data)=1382406160
[DEBUG] wav_idx=30, len(wav_list)=576, start_time=2024-09-14 06:42:23, last_processed_wav_index=30
[DEBUG] wav_idx=32, len(wav_list)=576, start_time=2024-09-14 08:10:08, last_processed_wav_index=30
[DEBUG] start_sample=22235136000, end_sample=22350336000, data_sample_num=22118444912, len(data)=1382398160
[DEBUG] wav_idx=32, len(wav_list)=576, start_time=2024-09-14 08:37:26, last_processed_wav_index=32
[DEBUG] wav_idx=35, len(wav_list)=576, start_time=2024-09-14 11:27:19, last_processed_wav_index=32
[DEBUG] start_sample=24506688000, end_sample=24621888000, data_sample_num=24192045056, len(data)=1382404624
[DEBUG] wav_idx=35, len(wav_list)=576, start_time=2024-09-14 11:45:39, last_processed_wav_index=35
[DEBUG] wav_idx=35, len(wav_list)=576, start_time=2024-09-14 11:55:25, last_processed_wav_index=0
[DEBUG] start_sample=24830400000, end_sample=24945600000, data_sample_num=24192045056, len(data)=1382404624
[DEBUG] wav_idx=36, len(wav_list)=576, start_time=2024-09-14 12:46:01, last_processed_wav_index=35
